Title,Company,Location,Link,Keyword,City
MANAGER IR VISIBILITY,Philip Morris International,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/manager-ir-visibility-m-f-d-at-philip-morris-international-4263981790?position=1&pageNum=0&refId=NB9%2FQLGDaobbezk%2BnNRr6A%3D%3D&trackingId=K8ynxZmMJ892LmpKBXm8zQ%3D%3D,SEA Manager,Munich
Managerin   Wirtschaftsprüferin  Prüfung  Beratung im öffentlichen Personennahverkehr,PKF IVT,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/manager-in-angehende-r-wirtschaftspr%C3%BCfer-in-m-w-d-pr%C3%BCfung-beratung-im-%C3%B6ffentlichen-personennahverkehr-%C3%B6pnv-at-pkf-ivt-4268329467?position=2&pageNum=0&refId=NB9%2FQLGDaobbezk%2BnNRr6A%3D%3D&trackingId=yIdIhXyW%2BjXQcoaossOWvw%3D%3D,SEA Manager,Munich
Office Manager  Management Assistenz  in Straßlach-Dingharting,Küffner Group,"Straßlach-Dingharting, Bavaria, Germany",https://de.linkedin.com/jobs/view/office-manager-management-assistenz-m-w-d-in-stra%C3%9Flach-dingharting-at-k%C3%BCffner-group-4268342016?position=3&pageNum=0&refId=NB9%2FQLGDaobbezk%2BnNRr6A%3D%3D&trackingId=5YqbYY%2BwpHzC6RsVtNBOvA%3D%3D,SEA Manager,Munich
SDR Manager,Quadient,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/sdr-manager-remote-at-quadient-4270642973?position=4&pageNum=0&refId=NB9%2FQLGDaobbezk%2BnNRr6A%3D%3D&trackingId=RTQnW1S6k5ghIExx6yGHww%3D%3D,SEA Manager,Munich
Trainee Seminar Manager,S+P Compliance Services,"Unterföhring, Bavaria, Germany",https://de.linkedin.com/jobs/view/trainee-seminar-manager-m-w-d-at-s%2Bp-compliance-services-4268505738?position=5&pageNum=0&refId=NB9%2FQLGDaobbezk%2BnNRr6A%3D%3D&trackingId=CPMD0fhtRT0DpG0p7rfxRQ%3D%3D,SEA Manager,Munich
Manager  Key Accounts,valantic,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/manager-all-genders-key-accounts-at-valantic-4268314116?position=6&pageNum=0&refId=NB9%2FQLGDaobbezk%2BnNRr6A%3D%3D&trackingId=F0GKnf5RuLn%2BUX%2FdOUXo2g%3D%3D,SEA Manager,Munich
Mitarbeiterin  Fleet Management,Railpool,Greater Munich Metropolitan Area,https://de.linkedin.com/jobs/view/mitarbeiter-in-m-w-d-fleet-management-disposition-und-serviceplanung-instandhaltungsleitung-at-railpool-4271155685?position=7&pageNum=0&refId=NB9%2FQLGDaobbezk%2BnNRr6A%3D%3D&trackingId=sEJJElfW1bpHXKQXMUd1%2Bg%3D%3D,SEA Manager,Munich
Senior Manager Business Requirements  Proposition,Sky Deutschland GmbH,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/senior-manager-business-requirements-proposition-m-w-d-at-sky-deutschland-gmbh-4271162266?position=8&pageNum=0&refId=NB9%2FQLGDaobbezk%2BnNRr6A%3D%3D&trackingId=m%2BuddfWMugNUlx3Sri%2FW6A%3D%3D,SEA Manager,Munich
Senior Manager Business Requirements  Proposition,Sky Deutschland GmbH,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/senior-manager-business-requirements-proposition-m-f-d-at-sky-deutschland-gmbh-4268527530?position=9&pageNum=0&refId=NB9%2FQLGDaobbezk%2BnNRr6A%3D%3D&trackingId=hT05zUYYiH73unrGugFA3g%3D%3D,SEA Manager,Munich
Liquidity Management  Intercompany Controlling,Rocken®,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/liquidity-management-intercompany-controlling-m-w-d-at-rocken%C2%AE-4270517075?position=10&pageNum=0&refId=NB9%2FQLGDaobbezk%2BnNRr6A%3D%3D&trackingId=ymCCH9nA226wcaa6%2BRTegA%3D%3D,SEA Manager,Munich
Duales Studium BWL - Spezialisierung International Management  am Campus oder virtuell - Jobbirdcom,Jobster,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/duales-studium-bwl-spezialisierung-international-management-b-a-am-campus-oder-virtuell-jobbird-com-at-jobster-4270589699?position=11&pageNum=0&refId=NB9%2FQLGDaobbezk%2BnNRr6A%3D%3D&trackingId=C8KeOaOwEHvukJl7SBDcXw%3D%3D,SEA Manager,Munich
Social Media Manager,FLH MEDIA DIGITAL,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/social-media-manager-m-w-d-at-flh-media-digital-4259863205?position=1&pageNum=0&refId=rNvQO0b%2BnLyK7RoaAUwafg%3D%3D&trackingId=3wUzbD5MTfsd0o23TvUbRw%3D%3D,Social Media Manager,Leipzig
Social Media  Content Manager  Employer Branding,ista Express Service GmbH,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/social-media-content-manager-%E2%80%93-employer-branding-m-w-d-at-ista-express-service-gmbh-4239584825?position=2&pageNum=0&refId=rNvQO0b%2BnLyK7RoaAUwafg%3D%3D&trackingId=geojSNtF6x3jDsEG43pXhw%3D%3D,Social Media Manager,Leipzig
Social Media Manager  Employer Branding,Instaffo,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/social-media-manager-%E2%80%93-employer-branding-at-instaffo-4264598109?position=3&pageNum=0&refId=rNvQO0b%2BnLyK7RoaAUwafg%3D%3D&trackingId=VEEmUEQnpBj5mBhrOOyvIA%3D%3D,Social Media Manager,Leipzig
Assistant Brand Manager Marketing,Confidential,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/assistant-brand-manager-marketing-at-confidential-4264048267?position=4&pageNum=0&refId=rNvQO0b%2BnLyK7RoaAUwafg%3D%3D&trackingId=RW4SKu0gnOj1u%2BtodWrJjA%3D%3D,Social Media Manager,Leipzig
Social Media Marketing Manager  I Schwerpunkt LinkedIn,Distart,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/social-media-marketing-manager-m-w-d-i-schwerpunkt-linkedin-at-distart-4261712856?position=5&pageNum=0&refId=rNvQO0b%2BnLyK7RoaAUwafg%3D%3D&trackingId=ulCULoxWySrMohqCFmkSBQ%3D%3D,Social Media Manager,Leipzig
Senior Social Media Manager in,trurnit GmbH,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/senior-social-media-manager-in-m-w-d-at-trurnit-gmbh-4260528134?position=6&pageNum=0&refId=rNvQO0b%2BnLyK7RoaAUwafg%3D%3D&trackingId=Yh3tOm1P0ZxhFn4aApN2zQ%3D%3D,Social Media Manager,Leipzig
Marketing Manager  - Schwerpunkt Social Media Vollzeit  Remote möglich  Standort Leipzig bevorzugt,Faktor100,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/marketing-manager-m-w-d-schwerpunkt-social-media-vollzeit-remote-m%C3%B6glich-standort-leipzig-bevorzugt-at-faktor100-4267429674?position=7&pageNum=0&refId=rNvQO0b%2BnLyK7RoaAUwafg%3D%3D&trackingId=hFeCDBnbIL3mfiRIsYM25A%3D%3D,Social Media Manager,Leipzig
Senior Social Media Manager,BDX MEDIA,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/senior-social-media-manager-m-w-d-at-bdx-media-4253351412?position=8&pageNum=0&refId=rNvQO0b%2BnLyK7RoaAUwafg%3D%3D&trackingId=JgyVgHUetqC8pwxSZEbQmA%3D%3D,Social Media Manager,Leipzig
EMEA Marketing Manager,Canonical,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/emea-marketing-manager-at-canonical-4261640088?position=9&pageNum=0&refId=rNvQO0b%2BnLyK7RoaAUwafg%3D%3D&trackingId=ClqsL1r0IrnX4kfvgj7PaA%3D%3D,Social Media Manager,Leipzig
Digital Marketing Manager Employer Branding,ista Express Service GmbH,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/digital-marketing-manager-employer-branding-m-w-d-at-ista-express-service-gmbh-4171022683?position=10&pageNum=0&refId=rNvQO0b%2BnLyK7RoaAUwafg%3D%3D&trackingId=Zc9jMGmKqi4p5lnuLXliig%3D%3D,Social Media Manager,Leipzig
Online-Marketing-Manager in Halle,Instaffo,"Halle, Saxony-Anhalt, Germany",https://de.linkedin.com/jobs/view/online-marketing-manager-in-halle-saale-at-instaffo-4209271665?position=11&pageNum=0&refId=rNvQO0b%2BnLyK7RoaAUwafg%3D%3D&trackingId=PnX0n4nHWSKowl7EI%2BgTGg%3D%3D,Social Media Manager,Leipzig
Product Marketing Manager,Staffbase,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/product-marketing-manager-at-staffbase-4266792098?position=12&pageNum=0&refId=rNvQO0b%2BnLyK7RoaAUwafg%3D%3D&trackingId=scSpS51mbgb031uJJprFiA%3D%3D,Social Media Manager,Leipzig
Product Marketing Manager,Canonical,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/product-marketing-manager-at-canonical-4260493876?position=13&pageNum=0&refId=rNvQO0b%2BnLyK7RoaAUwafg%3D%3D&trackingId=3ELViKCgXvzwL2QmL9N9Xw%3D%3D,Social Media Manager,Leipzig
Performance Marketing Manager  - Social Media,Invia Flights Germany GmbH,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/senior-performance-marketing-manager-m-w-d-social-media-at-invia-flights-germany-gmbh-4264356114?position=14&pageNum=0&refId=rNvQO0b%2BnLyK7RoaAUwafg%3D%3D&trackingId=zK%2FYhvNsRSHo%2F7dEj8yjVw%3D%3D,Social Media Manager,Leipzig
