Title,Company,Location,Link,Keyword,City
Working Student  Mobile App QA Tester,BlackBerry,"Düsseldorf, North Rhine-Westphalia, Germany",https://de.linkedin.com/jobs/view/working-student-%E2%80%93-mobile-app-qa-tester-m-f-d-at-blackberry-4258231473?position=1&pageNum=0&refId=LkGrbUdfIvxbTjOzHRlC0w%3D%3D&trackingId=pLexiC5c7VQ4rOg%2F%2F3MUXg%3D%3D,Software Tester,Essen
Senior Software Engineer in QA,Staffbase,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/senior-software-engineer-in-qa-at-staffbase-4264632932?position=1&pageNum=0&refId=g1F92eApHhBibHVWqxBBOA%3D%3D&trackingId=r%2FcZEnbNshmrORnODyu4Ww%3D%3D,QA Engineer,Leipzig
Senior Software Quality Engineer  App,Verivox GmbH,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/senior-software-quality-engineer-m-f-d-app-at-verivox-gmbh-4265971721?position=2&pageNum=0&refId=g1F92eApHhBibHVWqxBBOA%3D%3D&trackingId=gTSU9sQ0mSyffIZl6aa86Q%3D%3D,QA Engineer,Leipzig
Software Tester  Testautomatisierer,Deloitte,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/software-tester-testautomatisierer-m-w-d-at-deloitte-4243056914?position=1&pageNum=0&refId=eQms6GM3YgiDT0Ho26a5Dw%3D%3D&trackingId=%2FO1mhMoaw9hmDjozKHu64w%3D%3D,Software Test Analyst,Leipzig
Software-Tester-in  QS Spezialist-in,adesso insurance solutions GmbH,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/software-tester-in-qs-spezialist-in-all-genders-at-adesso-insurance-solutions-gmbh-4248911324?position=2&pageNum=0&refId=eQms6GM3YgiDT0Ho26a5Dw%3D%3D&trackingId=%2BmBKIT0FZZvqKRBLfXqERg%3D%3D,Software Test Analyst,Leipzig
Agiler Softwaretester  - Leipzig,SINC GmbH,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/agiler-softwaretester-m-w-d-leipzig-at-sinc-gmbh-4236234764?position=3&pageNum=0&refId=eQms6GM3YgiDT0Ho26a5Dw%3D%3D&trackingId=JMdYmq8mIFB%2F6s5miqPghA%3D%3D,Software Test Analyst,Leipzig
Test Engineer,Zebronics,Ruhr Region,https://de.linkedin.com/jobs/view/test-engineer-at-zebronics-4270054447?position=1&pageNum=0&refId=xFlx%2B%2F%2F%2By4RD6ren7Z9eWA%3D%3D&trackingId=9qu2SRYboqbIOeLnbvE2vA%3D%3D,Functional Tester,Dortmund
Softwaretester,CPU Softwarehouse AG,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/softwaretester-m-w-d-at-cpu-softwarehouse-ag-4252612159?position=1&pageNum=0&refId=Nra72HwXghCYyrhLNvi0VQ%3D%3D&trackingId=AGgPXxWUi%2FI7nZ1YQ6td9w%3D%3D,Software Tester,Munich
Software Tester,ALTEN Germany,Greater Munich Metropolitan Area,https://de.linkedin.com/jobs/view/software-tester-all-gender-at-alten-germany-4254338581?position=2&pageNum=0&refId=Nra72HwXghCYyrhLNvi0VQ%3D%3D&trackingId=gZxoRDw5rCKeLoclwmRV6w%3D%3D,Software Tester,Munich
Software Test Engineer,SPIRIT-TESTING Software & Services GmbH,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/software-test-engineer-m-w-d-at-spirit-testing-software-services-gmbh-4256296253?position=3&pageNum=0&refId=Nra72HwXghCYyrhLNvi0VQ%3D%3D&trackingId=yYCEgEp1IbftDLXX4swW%2Fw%3D%3D,Software Tester,Munich
