Title,Company,Location,Link,Keyword,City,Description,Remote,Seniority,Lang,Has_OFFICE_MANAGEMENT,Has_BÜROORGANISATION,Has_VERWALTUNG,Has_ASSISTENZ,Has_ADMINISTRATION,Has_TERMINPLANUNG,Has_KALENDER,Has_BUCHHALTUNG,Has_ACCOUNTING,Has_CUSTOMER,Has_EMPFANG,Has_REZEPTION,Has_POST,Has_ORGANISIEREN,Has_DOKUMENTATION,Has_BESTELLUNG,Has_TEAMASSISTENZ,Has_REISEPLANUNG,Has_ABRECHNUNG,Has_CONTROLLING,Has_EINKAUF,Has_EVENTS,Has_VERTRÄGE,Has_COMMUNICATIONS,Has_HR,Has_ONBOARDING,Has_FACILITY
Assistenz Im Team Office Management,German Economic Institute,"Cologne, North Rhine-Westphalia, Germany",https://de.linkedin.com/jobs/view/assistenz-m-w-d-im-team-office-management-at-german-economic-institute-4257677294?position=1&pageNum=0&refId=6xH%2Fyh2gy%2B1v1cPB24aaug%3D%3D&trackingId=rMnL1QOjaR%2B8xQmp1eAaFA%3D%3D,Büroleiter,Germany,"Für unser Team im Wissenschaftsbereich suchen wir zum nächstmöglichen Zeitpunkt in Vollzeit oder vollzeitnah eine erfahrene und engagierte Assistenzkraft (m/w/d), die uns in administrativen, organisatorischen und wissenschaftsnahen Aufgaben unterstützt. Aufgaben Sie übernehmen vielfältige administrative Aufgaben und sind ein zentraler Bestandteil unseres achtköpfigen Assistenzteams. Sie lesen wissenschaftliche Texte, Gutachten und Publikationen in deutscher Sprache Korrektur und formatieren diese gemäß unseren internen Richtlinien. Sie erstellen und überarbeiten Präsentationen, Tabellen und Grafiken. Sie planen, buchen und rechnen Dienstreisen ab. Sie koordinieren Termine, buchen Räume und bereiten Sitzungen und Workshops vor. Sie korrespondieren schriftlich und telefonisch. Sie organisieren Veranstaltungen - digital und in Präsenz - inklusive Gästebewirtung und Empfang. Sie prüfen Eingangsrechnungen sachlich und kontieren diese. Sie pflegen Datenbanken und erfassen Kennzahlen. Sie unterstützen bei allgemeinen Verwaltungsaufgaben. Profil Sie haben eine abgeschlossene kaufmännische Ausbildung und bereits Erfahrung in einer vergleichbaren Assistenzfunktion gesammelt. Sie arbeiten strukturiert, selbstständig und setzen die richtigen Prioritäten. Sie verfügen über sehr gute Deutschkenntnisse in Wort und Schrift sowie gute Englischkenntnisse. Sie haben ein ausgeprägtes Sprachgefühl und Freude an schriftlicher Kommunikation. Sie sind digital affin und souverän im Umgang mit MS-Office. Sie sind serviceorientiert, zuverlässig, flexibel und arbeiten gerne im Team. Sie verfügen über ein Gespür für Gestaltung und bringen Kenntnisse in der visuellen Aufbereitung von Inhalten mit. Sie sind ein echter Teamplayer mit positiver Energie, der sich auf eine lebendige, vertrauensvolle Zusammenarbeit freut. Wir bieten Über 30 Inhouse-Seminare und individuelle externe Weiterbildungen | Flexible Arbeitszeiten | Mobiles Arbeiten | Kostenloses Deutschlandticket | Direkte Rhein- und Hauptbahnhofnähe | Café Lounge | Silentrooms | 30 Urlaubstage | Brown-Bag-Sessions | Design-Thinking-Raum | Teamevents & Networking-Formate | Yoga, Ganzkörpertraining & Co | Sabbaticals | Fitnessraum | Betriebliche Altersvorsorge Important note Please be advised that a valid work permit for Germany is required for non-EU citizens. Unfortunately, applications without a valid work permit and sufficient German language skills may not be considered. LNKD1_DE Show more Show less",False,other,de,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
Junior Office Manager,Cocomore Ag,"Frankfurt, Hesse, Germany",https://de.linkedin.com/jobs/view/junior-office-manager-all-genders-at-cocomore-ag-4249168956?position=4&pageNum=0&refId=6xH%2Fyh2gy%2B1v1cPB24aaug%3D%3D&trackingId=cadvX5kJO7N6RBlBisVDqQ%3D%3D,Büroleiter,Germany,"Our Offer Takeover of own, varied projects and responsibilities from the beginning Prospects of being actively promoted and developed into an expert Team spirit and start-up atmosphere while working in a well-run organization Your work-life balance is important to us which is why flexible working hours and home office options are the norm for us and no exception Working at eye level with an experienced and interdisciplinary team Our onboarding program will help you get your bearings in the early days, and you will also have a personal buddy by your side Your Tasks Scheduling appointments (internal, client meetings, applicant interviews) Receipt and processing of incoming and outgoing mail Travel management including organizing and booking business trips Order management and preliminary accounting Professional customer reception and preparation of business meetings Planning and organizing internal and external events Supporting employees in all personnel matters Your Profile Commercial training or equivalent At least 1 year of professional experience in the secretarial/administrative field Excellent verbal and written communication skills Proficient in common office programs (Word, Excel, PowerPoint) Confident and positive demeanor towards employees and customers Proficiency in German and very good English skills What will happen after you apply? You will receive an email confirming that we received your documents. Afterwards, our recruitment team will inform you if your experience matches our requirements. If yes, you will receive an invitation for an online interview. About Us Cocomore is not only a digital agency providing products and communication services for international clients like EssilorLuxottica, GroupeSEB, Nestlé, Procter & Gamble, or Samsung. Cocomore is also an incubator for digital start-ups, having so far sold to Deutsche Telekom, Axel Springer, and Pro7Sat1. Our team of 180 professionals is located across Europe, with a strong presence in Barcelona, Berlin, Frankfurt (headquarters), Hamburg, and Seville. And while we all have different skills and talents, we share a common spirit: we are human, entrepreneurial, and creative. This is our way of working together with colleagues, partners, and clients. You can find our statement on diversity, equality, and inclusiveness here: https://www.cocomore.com/diversity-statement. Show more Show less",True,manager,en,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
Executive Assistant,Tsi Consumer Goods Gmbh,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/executive-assistant-m-w-d-at-tsi-consumer-goods-gmbh-4256464110?position=5&pageNum=0&refId=6xH%2Fyh2gy%2B1v1cPB24aaug%3D%3D&trackingId=n2hzTjul24K4PrWHy1L2bQ%3D%3D,Büroleiter,Germany,"CHAMPAGNER FÜR ALLE. Das ist unser Ziel. Großartige Produkte zu erschwinglichen Preisen anzubieten, dazu beitragen, dass sich Menschen ein gutes Leben leisten können. Ganz einfach! Die TSI ist ein Familienunternehmen mit einer klaren Zukunftsperspektive, denn bei uns steht der Kunde im Mittelpunkt. Ob Lebensmitteleinzel- oder Großhandel, unser Fokus liegt darauf, hochwertige Lebensmittel zu liefern und einen erstklassigen Service zu bieten. Als Spezialisten in einem dynamischen Marktumfeld wachsen wir seit Jahren kontinuierlich. Unsere vielfältigen Produkte finden Sie in den Regalen vieler namhafter Handelsketten weltweit. Zur Verstärkung unseres Teams in Berlin suchen wir ab sofort eine/n engagierte/n und erfahrene/n Executive Assistant (m/w/d) für unsere Geschäftsführung. In dieser Schlüsselposition haben Sie die einzigartige Gelegenheit, tief in unternehmerisches Denken und Handeln einzutauchen. Sie unterstützen die tägliche Arbeit der Geschäftsführung und erwerben dabei wertvolle Kenntnisse, die nicht nur Ihre berufliche Expertise erweitern, sondern auch Ihre persönliche Entwicklung fördern. Ihre Aufgaben: Unterstützung der Geschäftsführung bei operativen und strategischen Aufgaben. Koordination und Organisation von Terminen, Meetings und Reisen. Vorbereitung und Nachbereitung von Besprechungen, inklusive Protokollführung. Bearbeitung von vertraulicher Korrespondenz und Dokumenten. Verwaltung und Priorisierung der eingehenden Anfragen an die Geschäftsführung. Erstellung von Präsentationen, Berichten und Analysen. Projektmanagement und Unterstützung bei der Umsetzung von Unternehmensprojekten. Schnittstellenfunktion zu internen Abteilungen und externen Partnern. Ihr Profil: Abgeschlossenes Studium im Bereich Betriebswirtschaft, Management oder eine vergleichbare Qualifikation. Mehrjährige Erfahrung als Executive Assistent (m/w/d) oder in einer ähnlichen Position. Hervorragende organisatorische Fähigkeiten und ein ausgeprägtes Zeitmanagement. Souveränes Auftreten und Diskretion im Umgang mit sensiblen Informationen. Sehr gute Kommunikationsfähigkeiten in Deutsch und Englisch, sowohl schriftlich als auch mündlich. Sicherer Umgang mit MS Office (Word, Excel, PowerPoint) und modernen Kommunikationsmitteln. Proaktive, lösungsorientierte Arbeitsweise und hohe Eigeninitiative . Wir bieten Ihnen: Enge Zusammenarbeit mit einem tollen und erfahrenen Team. Ein attraktives Gehalt. Einen krisensicheren Arbeitsplatz in der Konsumgüterbranche. Eine strukturierte Einarbeitung, viele Entwicklungsmöglichkeiten die auf Ihren persönlichen Interessen basieren. Wunderschönes Office mit neuester Technik, höhenverstellbaren Tischen im Herzen Berlins mit einer guten Verkehrsanbindung am Potsdamer Platz. Coole Ideenwettbewerbe mit Preisvergaben. Regelmäßige Firmen- und Teamevents. Spannende Einblicke in die Welt des Handels. Kostenlose Getränke, Kaffee und Obst. Mitarbeiterrabatte i.H.v. 25% auf TSI-Artikel. Wir freuen uns auf Ihre aussagekräftigen Bewerbungsunterlagen inkl. Angabe Ihrer Gehaltsvorstellung und Ihres nächstmöglichen Eintrittstermins. Bitte senden Sie diese ausschließlich per E-Mail in Form einer PDF-Datei an jobs@tsi.de zu Händen an Larissa Leipold oder Elena Dmitriev. Sie können auch unser Bewerbungsformular auf unserer Homepage nutzen (Siehe unten Bewerber Button). Show more Show less",False,other,de,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
Berlin Süd - Station Allrounder,Roadsurfer,"Schönefeld, Brandenburg, Germany",https://de.linkedin.com/jobs/view/berlin-s%C3%BCd-station-allrounder-m-w-d-at-roadsurfer-4262500956?position=8&pageNum=0&refId=6xH%2Fyh2gy%2B1v1cPB24aaug%3D%3D&trackingId=DsQOtR1Frf7jn5BafaFYlg%3D%3D,Büroleiter,Germany,"Warum roadsurfer? TEAMSPIRIT & TEAMEVENTS: Freu dich auf eine kollegiale Atmosphäre mit flachen Hierarchien, jede Menge Spaß und großartigem Teamspirit sowie regelmäßige Teamevents wie gemeinsame Sportsessions, Grillabende oder einfach nur ein Feierabenddrink an deiner Station. AUSTAUSCHPROGRAMM: Tausche deinen Arbeitsplatz mit einem deiner europaweiten Kolleg:innen und arbeite bis zu vier Wochen im Jahr an den schönsten Orten Europas. CAMPER BUDGET: Du bekommst eine jährliche Freimiete für unsere Camper, damit du den #happyroadsurfing Lifestyle selbst erleben kannst. JOBRAD: Bleibe fit mit unserem Angebot eines Jobrads. DISCOUNTS: Nutze unsere Corporate Benefits Plattform, die Travel Industry Card und Family & Friends Rabatte. Die Rolle - deine Leidenschaft Begeistere unsere Kunden bei der Abholung und Rückgabe ihres Campers mit einem strahlenden Lächeln und gestalte ihre roadsurfer-Reise unvergesslich Erläutere und übergebe unsere Camper persönlich an die Kunden Packe tatkräftig mit an und kümmere dich um die gründliche Reinigung sowohl von Innen als auch von Außen unserer Camper Unterstütze das Stationsteam bei allen täglichen Aufgaben und sorge dafür, dass unsere #happyroadsurfer mit Freude in den Urlaub starten Was du brauchst, um mit uns auf einer Welle zu surfen Du bist absolut Hands-on und packst jederzeit mit an Du hast bereits Erfahrung im Umgang mit Kunden / Kundenservice Führerschein Klasse B Sehr gute Deutsch- und Englischkenntnisse Bereit zu surfen? Du bist für die Aufgabe wie gemacht? Dann freuen wir uns auf Deine Bewerbung! Für Rückfragen kannst Du dich auch gerne jederzeit an team@roadsurfer.com wenden und wir melden uns schnellstmöglich bei dir zurück. ABOUT #ROADSURFER We are more than Europe's largest campervan rental company. In 2021 we launched our platform roadsurfer spots in addition to our other products rent, abo and sales – a platform where you can discover and book unique camping spots. But that’s only the beginning. We are growing fast, so hop on board and join us on our journey. The roadsurfer philosophy is simple: rent an RV, start your adventure, be happy. Come ride the wave with us! Show more Show less",False,other,de,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
Kiel - Kundenservice,Roadsurfer,"Kiel, Schleswig-Holstein, Germany",https://de.linkedin.com/jobs/view/kiel-kundenservice-m-w-d-at-roadsurfer-4261732648?position=9&pageNum=0&refId=6xH%2Fyh2gy%2B1v1cPB24aaug%3D%3D&trackingId=e9TEiMxbCdiGItrVXRbJsQ%3D%3D,Büroleiter,Germany,"Warum roadsurfer? TEAMSPIRIT & TEAMEVENTS: Freu dich auf eine kollegiale Atmosphäre mit flachen Hierarchien, jede Menge Spaß und großartigem Teamspirit sowie regelmäßige Teamevents wie gemeinsame Sportsessions, Grillabende oder einfach nur ein Feierabenddrink an deiner Station. AUSTAUSCHPROGRAMM: Tausche deinen Arbeitsplatz mit einem deiner europaweiten Kolleg:innen und arbeite bis zu vier Wochen im Jahr an den schönsten Orten Europas. CAMPER BUDGET: Du bekommst eine jährliche Freimiete für unsere Camper, damit du den #happyroadsurfing Lifestyle selbst erleben kannst. JOBRAD: Bleibe fit mit unserem Angebot eines Jobrads. DISCOUNTS: Nutze unsere Corporate Benefits Plattform, die Travel Industry Card und Family & Friends Rabatte. VERTRAGDETAILS: ab sofort Die Rolle - deine Leidenschaft Du bist für die Koordination des täglichen Vermietgeschäfts verantwortlich und kümmerst dich um einen reibungslosen Ablauf aller Übergaben und Rücknahmen der Fahrzeuge gemeinsam mit unserem Stationteam direkt vor Ort Unsere Kunden und deren Zufriedenheit stehen für dich im Vordergrund und Du sorgst für eine tolle Customer-Journey Du unterstützt den Station Manager in der Personalplanung als auch im Training unserer Agenten um das Team kontinuierlich weiterzuentwickeln Du sorgst für die Einhaltung unserer Qualitätsstandards, vor allem in Bezug auf den Umgang mit unseren Kunden Was du brauchst, um mit uns auf einer Welle zu surfen Du hast eine erfolgreich abgeschlossene Ausbildung und mindestens 2-3 Jahre einschlägige Berufserfahrung, vorzugsweise in den Bereichen Autovermietung, Tourismus o.ä. Eine hohe Service- und Kundenorientierung und ein freundliches und offenes Auftreten sind für Dich selbstverständlich Du bist absolut Hands-On (hast also kein Problem damit dir die Hände schmutzig zu machen) und kommunikationsstark mit unseren Kunden face to face Du bist ein belastbarer Problemlöser und Organisationstalent Du sprichst verhandlungssicheres Deutsch und Englisch Du hast einen Führerschein der Klasse B Bereit zu surfen? Du bist für die Aufgabe wie gemacht? Dann freuen wir uns auf Deine Bewerbung! Für Rückfragen kannst Du dich auch gerne jederzeit an team@roadsurfer.com wenden und wir melden uns schnellstmöglich bei dir zurück. ABOUT #ROADSURFER We are more than Europe's largest campervan rental company. In 2021 we launched our platform roadsurfer spots in addition to our other products rent, abo and sales – a platform where you can discover and book unique camping spots. But that’s only the beginning. We are growing fast, so hop on board and join us on our journey. The roadsurfer philosophy is simple: rent an RV, start your adventure, be happy. Come ride the wave with us! Show more Show less",False,manager,mixed,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
Office Manager,Berkeley Croft,"Frankfurt am Main, Hesse, Germany",https://de.linkedin.com/jobs/view/office-manager-at-berkeley-croft-4263476248?position=10&pageNum=0&refId=6xH%2Fyh2gy%2B1v1cPB24aaug%3D%3D&trackingId=1KoGOUQpxZhJ%2B5L9HrU9GQ%3D%3D,Büroleiter,Germany,"I’m working with a leading global asset manager with a strong presence across the Americas, EMEA, and Asia-Pacific. Our firm is built on a culture of collaboration, integrity, and client focus. The Frankfurt office is home to a dedicated team of eight sales and client relationship professionals who serve a broad and sophisticated institutional and wholesale client base across Germany and the wider DACH region. Position Summary: We are seeking a proactive and highly organized Office Manager to oversee the smooth day-to-day operations of our Frankfurt office. The ideal candidate will be the heart of the office, ensuring a welcoming, professional, and efficient working environment. You will support both office administration and the local team’s operational needs, acting as a key liaison with global teams. Key Responsibilities: Manage the daily operations of the Frankfurt office, ensuring a well-functioning, professional, and client-ready environment Coordinate office maintenance, supplies, and equipment, ensuring cost-effective procurement and inventory management Provide administrative support to the local sales and relationship management team, including calendar coordination, travel booking, and expense reporting Support the onboarding process for new hires in coordination with HR and IT Organize internal meetings, client visits, and small-scale events, ensuring a high standard of hospitality Serve as a cultural ambassador and help foster a collaborative and inclusive office environment Assist with local budgeting and invoicing processes in collaboration with the finance department Coordinate communication and integration with global operational teams and corporate functions Key Requirements: 5+ years of experience in office management, administrative, or operations roles—preferably in financial services or professional services Fluent in German and English (spoken and written) Must have asset management experience Strong interpersonal and communication skills with a professional and service-oriented demeanour Highly organised, reliable, and able to multitask in a fast-paced, dynamic environment Strong Microsoft Office skills (Outlook, Word, Excel, PowerPoint) Experience working in a global or multicultural environment is a plus A proactive mindset with the ability to anticipate needs and take initiative Show more Show less",False,senior,en,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False
Office Manager,Zoomlion,"Frankfurt, Hesse, Germany",https://de.linkedin.com/jobs/view/office-manager-at-zoomlion-4226128005?position=11&pageNum=0&refId=6xH%2Fyh2gy%2B1v1cPB24aaug%3D%3D&trackingId=J%2B7x6hrHOlM5gJhH5kQ1CA%3D%3D,Büroleiter,Germany,"Office Manager - (idealerweise mit Sprachkenntnissen in Mandarin) Stellenbeschreibung Administrative Unterstützung des Vertriebsteams bei der Geschäftsentwicklung Verantwortlich für Verwaltung, Bürobetrieb und Wartungsunterstützung Unterstützung und Pflege von Lieferanten- und Kundenbeziehungen Allgemeine Bürotätigkeiten Berufliche Anforderungen Erfolgreich abgeschlossene dreijährige kaufmännische Ausbildung oder höher Idealerweise 2-3 Jahre Berufserfahrung in der Verwaltung Erfahrungen mit gewerblichen oder privaten Veranstaltungen sind von großem Vorteil Gut organisiert, detailorientiert, hohes Verantwortungsbewusstsein Ausgezeichnete Kenntnisse im Umgang mit MS Office und sozialen Medien Gute Beherrschung der deutschen und englischen Sprache in Wort und Schrift (B2 oder höher) Idealerweise gute bis sehr gute Beherrschung der chinesischen Sprache Show more Show less",False,manager,de,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Executive Assistant,Robert Half,Greater Munich Metropolitan Area,https://de.linkedin.com/jobs/view/executive-assistant-m-w-d-at-robert-half-4265176136?position=15&pageNum=0&refId=6xH%2Fyh2gy%2B1v1cPB24aaug%3D%3D&trackingId=sI0z1WYpKfJY2rkfHyEisg%3D%3D,Büroleiter,Germany,"Für unseren Kunden, eine erfolgreiche mittelständische Investmentgesellschaft mit Fokus auf Immobilien , suchen wir zum nächstmöglichen Zeitpunkt eine engagierte Executive Assistant in Vollzeit. In dieser Schlüsselrolle unterstützen Sie die Geschäftsleitung bei operativen und strategischen Aufgaben und tragen aktiv zum Unternehmenserfolg bei. Deine Aufgaben Unterstützung der Geschäftsführung im Tagesgeschäft sowie bei strategischen Themen Eigenverantwortliche Organisation und Koordination von Terminen, Meetings und Geschäftsreisen Vor- und Nachbereitung von Besprechungen sowie Erstellung von Präsentationen und Entscheidungsvorlagen Kommunikation mit internen und externen Stakeholdern auf nationaler und internationaler Ebene Diskrete und professionelle Bearbeitung vertraulicher Informationen und Unterlagen Eigenständige Übernahme von Projekten im administrativen und organisatorischen Bereich Dein Profil Abgeschlossene kaufmännische Ausbildung oder Studium mit wirtschaftlichem Hintergrund Mehrjährige Erfahrung als Assistenz auf Geschäftsleitungsebene, idealerweise in der Immobilien- oder Investmentbranche Ausgeprägtes Organisationstalent und eine strukturierte, proaktive Arbeitsweise Sicheres Auftreten, Diskretion und ein hohes Maß an Loyalität Sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift Versierter Umgang mit MS Office, insbesondere Outlook, Word, PowerPoint und Excel Benefits Verantwortungsvolle Position in einem stabilen, wachstumsorientierten Unternehmen Enge Zusammenarbeit mit der Geschäftsleitung auf Augenhöhe Vertrauensvolle Unternehmenskultur mit flachen Hierarchien Moderner Arbeitsplatz in attraktiver Lage südlich von München Leistungsgerechte Vergütung und zusätzliche Benefits Langfristige Perspektive mit Entwicklungsmöglichkeiten Bereit für den nächsten Karriereschritt? Dann freue ich mich auf den Austausch mit Ihnen. Bewerbungen werden selbstverständlich vertraulich und diskret behandelt. Kontakt nils.manhart@roberthalf.de Show more Show less",False,manager,de,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Mainz - Kundenservice,Roadsurfer,"Mainz, Rhineland-Palatinate, Germany",https://de.linkedin.com/jobs/view/mainz-kundenservice-m-w-d-at-roadsurfer-4260831739?position=16&pageNum=0&refId=6xH%2Fyh2gy%2B1v1cPB24aaug%3D%3D&trackingId=edT%2FMc%2FmJGVW6WV%2F9Ug6eQ%3D%3D,Büroleiter,Germany,"Warum roadsurfer? TEAMSPIRIT & TEAMEVENTS: Freu dich auf eine kollegiale Atmosphäre mit flachen Hierarchien, jede Menge Spaß und großartigem Teamspirit sowie regelmäßige Teamevents wie gemeinsame Sportsessions, Grillabende oder einfach nur ein Feierabenddrink an deiner Station. AUSTAUSCHPROGRAMM: Tausche deinen Arbeitsplatz mit einem deiner europaweiten Kolleg:innen und arbeite bis zu vier Wochen im Jahr an den schönsten Orten Europas. CAMPER BUDGET: Du bekommst eine jährliche Freimiete für unsere Camper, damit du den #happyroadsurfing Lifestyle selbst erleben kannst. JOBRAD: Bleibe fit mit unserem Angebot eines Jobrads. DISCOUNTS: Nutze unsere Corporate Benefits Plattform, die Travel Industry Card und Family & Friends Rabatte. Die Rolle - deine Leidenschaft Du bist für die Koordination des täglichen Vermietgeschäfts verantwortlich und kümmerst dich um einen reibungslosen Ablauf aller Übergaben und Rücknahmen der Fahrzeuge gemeinsam mit unserem Stationteam direkt vor Ort Unsere Kunden und deren Zufriedenheit stehen für dich im Vordergrund und Du sorgst für eine tolle Customer-Journey Du unterstützt den Station Manager in der Personalplanung als auch im Training unserer Agenten um das Team kontinuierlich weiterzuentwickeln Du sorgst für die Einhaltung unserer Qualitätsstandards, vor allem in Bezug auf den Umgang mit unseren Kunden Was du brauchst, um mit uns auf einer Welle zu surfen Du hast eine erfolgreich abgeschlossene Ausbildung und mindestens 2-3 Jahre einschlägige Berufserfahrung, vorzugsweise in den Bereichen Autovermietung, Tourismus o.ä. Eine hohe Service- und Kundenorientierung und ein freundliches und offenes Auftreten sind für Dich selbstverständlich Du bist absolut Hands-On (hast also kein Problem damit dir die Hände schmutzig zu machen) und kommunikationsstark mit unseren Kunden face to face Du bist ein belastbarer Problemlöser und Organisationstalent Du sprichst verhandlungssicheres Deutsch und Englisch Du hast einen Führerschein der Klasse B Bereit zu surfen? Du bist für die Aufgabe wie gemacht? Dann freuen wir uns auf Deine Bewerbung! Für Rückfragen kannst Du dich auch gerne jederzeit an team@roadsurfer.com wenden und wir melden uns schnellstmöglich bei dir zurück. ABOUT #ROADSURFER We are more than Europe's largest campervan rental company. In 2021 we launched our platform roadsurfer spots in addition to our other products rent, abo and sales – a platform where you can discover and book unique camping spots. But that’s only the beginning. We are growing fast, so hop on board and join us on our journey. The roadsurfer philosophy is simple: rent an RV, start your adventure, be happy. Come ride the wave with us! Show more Show less",False,manager,mixed,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
Office Manager:In,Mtm Consulting Gmbh,"Frankfurt am Main, Hesse, Germany",https://de.linkedin.com/jobs/view/office-manager-in-at-mtm-consulting-gmbh-4189590607?position=17&pageNum=0&refId=6xH%2Fyh2gy%2B1v1cPB24aaug%3D%3D&trackingId=CwekH93PVjUbzsdjmxopPw%3D%3D,Büroleiter,Germany,"Im Kundenauftrag suchen wir am Standort Frankfurt eine Office Manager:in (m/w/d). Aufgabenbereich: Übernahme administrativer Aufgaben im Bereich des allgemeinen Office Managements Einkauf von Büromaterialien (Möbel, Schreibwaren, Verbrauchsmaterialien) Unterstützung bei Reiseplanung und -organisation Ansprechpartner für Vermieter / Reinigungspersonal / Handwerker Vertretung und Unterstützung der Empfangsassistenz Fachliche Anforderungen: Abgeschlossene Ausbildung in der Hotellerie oder eine vergleichbare Qualifikation Berufserfahrung im Empfangs- oder Office-Management von Vorteil Organisationstalent mit einer strukturierten, selbstständigen und vorausschauenden Arbeitsweise Freundliches und professionelles Auftreten Sehr gute MS-Office-Kenntnisse ((Word, Excel, PowerPoint, Outlook) Serviceorientierung und Teamfähigkeit Sehr gute Deutschkenntnisse und gute Englischkenntnisse in Wort und Schrift Unser Partner-Unternehmen bietet: Eine verantwortungsvolle Aufgabe, die direkten Einfluss auf den Wachstumskurs des Unternehmens hat Direkte Berichtslinie an die Geschäftsführung, flache Hierarchien und ein junges Team Zeitliche & monetäre Unterstützung bei Weiterbildungen Vielfältige, kreative, sympathische, professionelle Teams und Kollegen Teamevents wie mehrtägige Firmenausflüge, Firmenlauf etc. Weitere Benefits wie: Getränke, Obstkorb, Betriebliche Altersvorsorge, Gesundheitsfürsorge, Massage-Service etc. Gehaltsrahmen in Vollzeit je nach Berufserfahrung: 44.000 -55.000 € Show more Show less",False,manager,de,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False
