Title,Company,Location,Link,Keyword,City,Description,Remote,Seniority,Lang,Has_JIRA,Has_TEST_CASE,Has_TESTFALL,Has_BUG,Has_DEFECT,Has_AGILE,Has_SCRUM,Has_KANBAN,Has_TEST_MANAGEMENT,Has_MANUAL,Has_API,Has_SQL,Has_REGRESSION,Has_EXPLORATORY,Has_TESTPLANUNG,Has_TESTDURCHFÜHRUNG,Has_FEHLERANALYSE
App-Tester,Clickworker,Germany,https://de.linkedin.com/jobs/view/app-tester-m-w-d-at-clickworker-4254887671?position=1&pageNum=0&refId=iQh9G8N9ru%2BvXwhbap02Xg%3D%3D&trackingId=NuTvWKZwLTIhQ9bhHyotJQ%3D%3D,Manual Tester,Germany,"App-Tester gesucht – iOS und Android (m/w/d) Aktuelles Projekt Für eine Spracherkennungs-App benötigen wir noch Beta-Tester, die auf ihrem iPhone oder iPad 250 vorgegebene kurze Sätze einsprechen und aufnehmen möchten. Die Auftrag dauert ca. 45-55 Minuten. Das Honorar dafür beträgt: 15€ Wir stellen regelmäßig App-Tester-Jobs für Android und iOs ein. Wichtig: Je nach Auftragstyp bieten wir manche Projekte nur über unsere Browserversion wwwPUNKTclickworkerPUNKTde oder alternativ über die Clickworker-App an. Es lohnt sich daher, regelmäßig in beide Systeme nach neuen Aufträgen zu schauen. Erforderliche Kenntnisse – Ihr Profil. Die Aufträge zu diesem Thema können Sie als eingeloggter Benutzer direkt auf unserer Plattform wwwPUNKTclickworkerPUNKTde annehmen und/oder über die Clickworker-App. So funktioniert‘s mobiles Gerät mit Internetanschluss wird vorausgesetzt. Arbeitszeit, Arbeitsort und Arbeitspensum sind frei wählbar. So funktioniert‘s Melden Sie sich einfach und komplett kostenfrei auf unserer Bewerberplattform als Clickworker an und füllen Sie Ihr Profil aus. Zeigen Sie uns Ihr Können, indem Sie im Anschluss die passenden Qualifizierungen absolvieren. Verfügbare Aufträge werden Ihnen danach automatisch in Ihrem Benutzerkonto eingeblendet. Das verdiente Honorar wird wahlweise wöchentlich oder monatlich auf Ihr Konto ausgezahlt. Über uns clickworkerPUNKTde ist eine Crowdsourcing-Plattform auf Honorarbasis, die mit Hilfe zahlreicher Clickworker (bei uns registrierte Internetnutzer), umfangreiche Geschäftsprozesse abwickelt. Aufgaben Aufträge von Unternehmen werden von clickworkerPUNKTde in Mikrojobs zerlegt und an Clickworker weiter vergeben, die mit diesen Arbeiten im Netz Geld verdienen. Qualifikation Ein Computer oder mobiles Gerät mit Internetanschluss wird vorausgesetzt. Arbeitszeit, Arbeitsort und Arbeitspensum sind frei wählbar. Bewerbung Haben wir Ihr Interesse geweckt? Dann registrieren Sie sich auf unserer Bewerberplattform und qualifizieren Sie sich für den Job. wwwPUNKTclickworkerPUNKTde Show more Show less",False,other,mixed,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Test Engineer,Rullion,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/test-engineer-at-rullion-4255718424?position=2&pageNum=0&refId=iQh9G8N9ru%2BvXwhbap02Xg%3D%3D&trackingId=e76C%2FfVioooX2VPiptoJsA%3D%3D,Manual Tester,Germany,"SAP Manual Tester Required for on-site project in Munich, with some travel around Germany. GERMAN LANGUAGE SKILLS are ESSENTIAL, C1 or higher. We are ideally looking for - SAP ISU Manual testing experience, previous experience working with JIRA. Show more Show less",False,other,mixed,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Tester,Nexus Ag,"Donaueschingen, Baden-Württemberg, Germany",https://de.linkedin.com/jobs/view/tester-m-w-d-at-nexus-ag-4253682918?position=3&pageNum=0&refId=iQh9G8N9ru%2BvXwhbap02Xg%3D%3D&trackingId=JpO8RiCDQstOY6r22vR%2FMA%3D%3D,Manual Tester,Germany,"Wer wir sind Wir unterstützen mit unseren Medizinprodukten Ärzte und Pflegepersonal dabei, sich auf das Wesentliche, nämlich das Wohl des Patienten zu konzentrieren. Dafür arbeiten wir Tag für Tag und Hand in Hand. Mit unserem modernen, flexiblen Informations- und Dokumentationssystem „Klinische Kurve“ unterstützten wir alle medizinischen und pflegerischen Prozesse von der Normalstation bis hin zur Intensivabteilung. Dies spornt unser Team immer wieder zu Höchstleistung und Innovation an. Wir suchen Tester (m/w/d) für das neue Modul MedikationNG –Verordnung Du hast klinische Erfahrung und möchtest aktiv an der Weiterentwicklung von medizinischer Software mitwirken? Dann komm in unser Team! Teste unsere Software flexibel mit deinem eigenen PC – wann und wo du möchtest! Ihr Aufgabengebiet Durchführung vorgegebener Testcases inklusive deren Ergebnisdokumentation sowie freies Testen unseres neuen Medikationsmoduls Was du mitbringst Ärztliche Berufserfahrung im stationären Bereich (idealerweise Intensivmedizin, Anästhesie oder ZNA) Oder: Ausbildung als Apotheker*in oder PTA mit klinischer Erfahrung im Medikationsprozess Verständnis für den Klinikalltag – du denkst wie eine Anwender*in Lust, Prozesse kritisch zu hinterfragen und aktiv mitzugestalten Klingt spannend? Dann bewerbe dich jetzt! NEXUS / CMC GmbH Lara Schirmaier Irmastraße 1 78166 Donaueschingen Show more Show less",False,other,mixed,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
App-Tester,Clickworker,Germany,https://de.linkedin.com/jobs/view/app-tester-m-w-d-at-clickworker-4254887671?position=1&pageNum=0&refId=ay1NN64ZT2KHw%2BhdrpHgKA%3D%3D&trackingId=mHkVq%2BUpb3ucM3UKfuN2Aw%3D%3D,Manual Tester,Germany,"App-Tester gesucht – iOS und Android (m/w/d) Aktuelles Projekt Für eine Spracherkennungs-App benötigen wir noch Beta-Tester, die auf ihrem iPhone oder iPad 250 vorgegebene kurze Sätze einsprechen und aufnehmen möchten. Die Auftrag dauert ca. 45-55 Minuten. Das Honorar dafür beträgt: 15€ Wir stellen regelmäßig App-Tester-Jobs für Android und iOs ein. Wichtig: Je nach Auftragstyp bieten wir manche Projekte nur über unsere Browserversion wwwPUNKTclickworkerPUNKTde oder alternativ über die Clickworker-App an. Es lohnt sich daher, regelmäßig in beide Systeme nach neuen Aufträgen zu schauen. Erforderliche Kenntnisse – Ihr Profil. Die Aufträge zu diesem Thema können Sie als eingeloggter Benutzer direkt auf unserer Plattform wwwPUNKTclickworkerPUNKTde annehmen und/oder über die Clickworker-App. So funktioniert‘s mobiles Gerät mit Internetanschluss wird vorausgesetzt. Arbeitszeit, Arbeitsort und Arbeitspensum sind frei wählbar. So funktioniert‘s Melden Sie sich einfach und komplett kostenfrei auf unserer Bewerberplattform als Clickworker an und füllen Sie Ihr Profil aus. Zeigen Sie uns Ihr Können, indem Sie im Anschluss die passenden Qualifizierungen absolvieren. Verfügbare Aufträge werden Ihnen danach automatisch in Ihrem Benutzerkonto eingeblendet. Das verdiente Honorar wird wahlweise wöchentlich oder monatlich auf Ihr Konto ausgezahlt. Über uns clickworkerPUNKTde ist eine Crowdsourcing-Plattform auf Honorarbasis, die mit Hilfe zahlreicher Clickworker (bei uns registrierte Internetnutzer), umfangreiche Geschäftsprozesse abwickelt. Aufgaben Aufträge von Unternehmen werden von clickworkerPUNKTde in Mikrojobs zerlegt und an Clickworker weiter vergeben, die mit diesen Arbeiten im Netz Geld verdienen. Qualifikation Ein Computer oder mobiles Gerät mit Internetanschluss wird vorausgesetzt. Arbeitszeit, Arbeitsort und Arbeitspensum sind frei wählbar. Bewerbung Haben wir Ihr Interesse geweckt? Dann registrieren Sie sich auf unserer Bewerberplattform und qualifizieren Sie sich für den Job. wwwPUNKTclickworkerPUNKTde Show more Show less",False,other,mixed,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Test Engineer,Rullion,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/test-engineer-at-rullion-4255718424?position=2&pageNum=0&refId=ay1NN64ZT2KHw%2BhdrpHgKA%3D%3D&trackingId=%2FBNJrO%2B6VSOJtf1iS3iiPA%3D%3D,Manual Tester,Germany,"SAP Manual Tester Required for on-site project in Munich, with some travel around Germany. GERMAN LANGUAGE SKILLS are ESSENTIAL, C1 or higher. We are ideally looking for - SAP ISU Manual testing experience, previous experience working with JIRA. Show more Show less",False,other,mixed,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Tester,Nexus Ag,"Donaueschingen, Baden-Württemberg, Germany",https://de.linkedin.com/jobs/view/tester-m-w-d-at-nexus-ag-4253682918?position=3&pageNum=0&refId=ay1NN64ZT2KHw%2BhdrpHgKA%3D%3D&trackingId=9aaeKisvHCzL2H76QsGYNQ%3D%3D,Manual Tester,Germany,"Wer wir sind Wir unterstützen mit unseren Medizinprodukten Ärzte und Pflegepersonal dabei, sich auf das Wesentliche, nämlich das Wohl des Patienten zu konzentrieren. Dafür arbeiten wir Tag für Tag und Hand in Hand. Mit unserem modernen, flexiblen Informations- und Dokumentationssystem „Klinische Kurve“ unterstützten wir alle medizinischen und pflegerischen Prozesse von der Normalstation bis hin zur Intensivabteilung. Dies spornt unser Team immer wieder zu Höchstleistung und Innovation an. Wir suchen Tester (m/w/d) für das neue Modul MedikationNG –Verordnung Du hast klinische Erfahrung und möchtest aktiv an der Weiterentwicklung von medizinischer Software mitwirken? Dann komm in unser Team! Teste unsere Software flexibel mit deinem eigenen PC – wann und wo du möchtest! Ihr Aufgabengebiet Durchführung vorgegebener Testcases inklusive deren Ergebnisdokumentation sowie freies Testen unseres neuen Medikationsmoduls Was du mitbringst Ärztliche Berufserfahrung im stationären Bereich (idealerweise Intensivmedizin, Anästhesie oder ZNA) Oder: Ausbildung als Apotheker*in oder PTA mit klinischer Erfahrung im Medikationsprozess Verständnis für den Klinikalltag – du denkst wie eine Anwender*in Lust, Prozesse kritisch zu hinterfragen und aktiv mitzugestalten Klingt spannend? Dann bewerbe dich jetzt! NEXUS / CMC GmbH Lara Schirmaier Irmastraße 1 78166 Donaueschingen Show more Show less",False,other,mixed,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
App-Tester,Clickworker,Germany,https://de.linkedin.com/jobs/view/app-tester-m-w-d-at-clickworker-4254887671?position=1&pageNum=0&refId=rmqlo8qt1%2F%2B5IfH%2FXqrazQ%3D%3D&trackingId=3lrg24YfyMoq6QO6vlZ6yw%3D%3D,Manual Tester,Germany,"App-Tester gesucht – iOS und Android (m/w/d) Aktuelles Projekt Für eine Spracherkennungs-App benötigen wir noch Beta-Tester, die auf ihrem iPhone oder iPad 250 vorgegebene kurze Sätze einsprechen und aufnehmen möchten. Die Auftrag dauert ca. 45-55 Minuten. Das Honorar dafür beträgt: 15€ Wir stellen regelmäßig App-Tester-Jobs für Android und iOs ein. Wichtig: Je nach Auftragstyp bieten wir manche Projekte nur über unsere Browserversion wwwPUNKTclickworkerPUNKTde oder alternativ über die Clickworker-App an. Es lohnt sich daher, regelmäßig in beide Systeme nach neuen Aufträgen zu schauen. Erforderliche Kenntnisse – Ihr Profil. Die Aufträge zu diesem Thema können Sie als eingeloggter Benutzer direkt auf unserer Plattform wwwPUNKTclickworkerPUNKTde annehmen und/oder über die Clickworker-App. So funktioniert‘s mobiles Gerät mit Internetanschluss wird vorausgesetzt. Arbeitszeit, Arbeitsort und Arbeitspensum sind frei wählbar. So funktioniert‘s Melden Sie sich einfach und komplett kostenfrei auf unserer Bewerberplattform als Clickworker an und füllen Sie Ihr Profil aus. Zeigen Sie uns Ihr Können, indem Sie im Anschluss die passenden Qualifizierungen absolvieren. Verfügbare Aufträge werden Ihnen danach automatisch in Ihrem Benutzerkonto eingeblendet. Das verdiente Honorar wird wahlweise wöchentlich oder monatlich auf Ihr Konto ausgezahlt. Über uns clickworkerPUNKTde ist eine Crowdsourcing-Plattform auf Honorarbasis, die mit Hilfe zahlreicher Clickworker (bei uns registrierte Internetnutzer), umfangreiche Geschäftsprozesse abwickelt. Aufgaben Aufträge von Unternehmen werden von clickworkerPUNKTde in Mikrojobs zerlegt und an Clickworker weiter vergeben, die mit diesen Arbeiten im Netz Geld verdienen. Qualifikation Ein Computer oder mobiles Gerät mit Internetanschluss wird vorausgesetzt. Arbeitszeit, Arbeitsort und Arbeitspensum sind frei wählbar. Bewerbung Haben wir Ihr Interesse geweckt? Dann registrieren Sie sich auf unserer Bewerberplattform und qualifizieren Sie sich für den Job. wwwPUNKTclickworkerPUNKTde Show more Show less",False,other,mixed,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Test Engineer,Rullion,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/test-engineer-at-rullion-4255718424?position=2&pageNum=0&refId=rmqlo8qt1%2F%2B5IfH%2FXqrazQ%3D%3D&trackingId=785cOb2ynDSxrvtB%2FrCrlQ%3D%3D,Manual Tester,Germany,"SAP Manual Tester Required for on-site project in Munich, with some travel around Germany. GERMAN LANGUAGE SKILLS are ESSENTIAL, C1 or higher. We are ideally looking for - SAP ISU Manual testing experience, previous experience working with JIRA. Show more Show less",False,other,mixed,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Tester,Nexus Ag,"Donaueschingen, Baden-Württemberg, Germany",https://de.linkedin.com/jobs/view/tester-m-w-d-at-nexus-ag-4253682918?position=3&pageNum=0&refId=rmqlo8qt1%2F%2B5IfH%2FXqrazQ%3D%3D&trackingId=MSPYWV5UjJzw54yIxV6bUA%3D%3D,Manual Tester,Germany,"Wer wir sind Wir unterstützen mit unseren Medizinprodukten Ärzte und Pflegepersonal dabei, sich auf das Wesentliche, nämlich das Wohl des Patienten zu konzentrieren. Dafür arbeiten wir Tag für Tag und Hand in Hand. Mit unserem modernen, flexiblen Informations- und Dokumentationssystem „Klinische Kurve“ unterstützten wir alle medizinischen und pflegerischen Prozesse von der Normalstation bis hin zur Intensivabteilung. Dies spornt unser Team immer wieder zu Höchstleistung und Innovation an. Wir suchen Tester (m/w/d) für das neue Modul MedikationNG –Verordnung Du hast klinische Erfahrung und möchtest aktiv an der Weiterentwicklung von medizinischer Software mitwirken? Dann komm in unser Team! Teste unsere Software flexibel mit deinem eigenen PC – wann und wo du möchtest! Ihr Aufgabengebiet Durchführung vorgegebener Testcases inklusive deren Ergebnisdokumentation sowie freies Testen unseres neuen Medikationsmoduls Was du mitbringst Ärztliche Berufserfahrung im stationären Bereich (idealerweise Intensivmedizin, Anästhesie oder ZNA) Oder: Ausbildung als Apotheker*in oder PTA mit klinischer Erfahrung im Medikationsprozess Verständnis für den Klinikalltag – du denkst wie eine Anwender*in Lust, Prozesse kritisch zu hinterfragen und aktiv mitzugestalten Klingt spannend? Dann bewerbe dich jetzt! NEXUS / CMC GmbH Lara Schirmaier Irmastraße 1 78166 Donaueschingen Show more Show less",False,other,mixed,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
App-Tester,Clickworker,Germany,https://de.linkedin.com/jobs/view/app-tester-m-w-d-at-clickworker-4254887671?position=1&pageNum=0&refId=tsiNrA5ytA%2FpWk7ISUiAbA%3D%3D&trackingId=e3Alki54IQNJb0PmcOv4OA%3D%3D,Manual Tester,Germany,"App-Tester gesucht – iOS und Android (m/w/d) Aktuelles Projekt Für eine Spracherkennungs-App benötigen wir noch Beta-Tester, die auf ihrem iPhone oder iPad 250 vorgegebene kurze Sätze einsprechen und aufnehmen möchten. Die Auftrag dauert ca. 45-55 Minuten. Das Honorar dafür beträgt: 15€ Wir stellen regelmäßig App-Tester-Jobs für Android und iOs ein. Wichtig: Je nach Auftragstyp bieten wir manche Projekte nur über unsere Browserversion wwwPUNKTclickworkerPUNKTde oder alternativ über die Clickworker-App an. Es lohnt sich daher, regelmäßig in beide Systeme nach neuen Aufträgen zu schauen. Erforderliche Kenntnisse – Ihr Profil. Die Aufträge zu diesem Thema können Sie als eingeloggter Benutzer direkt auf unserer Plattform wwwPUNKTclickworkerPUNKTde annehmen und/oder über die Clickworker-App. So funktioniert‘s mobiles Gerät mit Internetanschluss wird vorausgesetzt. Arbeitszeit, Arbeitsort und Arbeitspensum sind frei wählbar. So funktioniert‘s Melden Sie sich einfach und komplett kostenfrei auf unserer Bewerberplattform als Clickworker an und füllen Sie Ihr Profil aus. Zeigen Sie uns Ihr Können, indem Sie im Anschluss die passenden Qualifizierungen absolvieren. Verfügbare Aufträge werden Ihnen danach automatisch in Ihrem Benutzerkonto eingeblendet. Das verdiente Honorar wird wahlweise wöchentlich oder monatlich auf Ihr Konto ausgezahlt. Über uns clickworkerPUNKTde ist eine Crowdsourcing-Plattform auf Honorarbasis, die mit Hilfe zahlreicher Clickworker (bei uns registrierte Internetnutzer), umfangreiche Geschäftsprozesse abwickelt. Aufgaben Aufträge von Unternehmen werden von clickworkerPUNKTde in Mikrojobs zerlegt und an Clickworker weiter vergeben, die mit diesen Arbeiten im Netz Geld verdienen. Qualifikation Ein Computer oder mobiles Gerät mit Internetanschluss wird vorausgesetzt. Arbeitszeit, Arbeitsort und Arbeitspensum sind frei wählbar. Bewerbung Haben wir Ihr Interesse geweckt? Dann registrieren Sie sich auf unserer Bewerberplattform und qualifizieren Sie sich für den Job. wwwPUNKTclickworkerPUNKTde Show more Show less",False,other,mixed,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
