Title,Company,Location,Link,Keyword,City,Description,Remote,Seniority,Lang,Has_WINDOWS,Has_LINUX,Has_UNIX,Has_NETZWERK,Has_NETWORK,Has_ACTIVE_DIRECTORY,Has_VMWARE,Has_IT-SICHERHEIT,Has_SECURITY,Has_FIREWALL,Has_SERVER,Has_BACKUP,Has_STORAGE,Has_CLOUD,Has_MS_EXCHANGE,Has_VIRTUALISIERUNG,Has_POWERSHELL,Has_ADMINISTRATION,Has_USER_MANAGEMENT,Has_INFRASTRUKTUR,Has_DATACENTER,Has_TCP/IP,Has_HARDWARE,Has_SOFTWARE,Has_PATCH,Has_UPDATE,Has_MONITORING,Has_REMOTE,Has_SCRIPTING
Systemadministrator,"Swell, Inc.","Bad Schwalbach, Hesse, Germany",https://de.linkedin.com/jobs/view/systemadministrator-m-w-d-at-swell-inc-4261131266?position=1&pageNum=0&refId=qZN%2BWygAx4a49CQkS%2FIBSA%3D%3D&trackingId=gsQ7oLde3mcdLTBBPYvpaA%3D%3D,Systemadministrator,Germany,"Als Systemadministrator (m/w/d) sorgst Du dafür, dass in unserem Team technisch alles rund läuft. Das tust Du bei uns: Du planst und überwachst unsere Client- und Serversystem-Landschaft. Dabei behältst Du stets die Netzwerke und Domänen im Blick. Du überwachst und konzipierst unsere IT-Sicherheit. Du sorgst für eine gewissenhafte Dokumentation der IT-Infrastruktur. Das ist Deine Arbeitsumgebung: Windows-Server und Win10/11 Virtualisierung wie u.a. HyperV Microsoft 365 TrueNas JIRA Das bist Du: Du bist erfahren in der professionellen Administration von IT-Systemen, gern auch als Quereinsteiger*in. Du begeisterst Dich für Client- und Serverhardware und hältst Dich stets auf dem neuesten Stand. Du hast Spaß an der Planung von technisch funktionellen Arbeitsplätzen, dabei hast Du ein gutes Gefühl für „must-have“ und „nice-to-have“. Du setzt Dich gern mit den IT-Bedürfnissen Deiner „internen Kunden“ auseinander und suchst nach der besten Lösung. Du lebst eine „Hands-on-Mentalität“. Du besitzt Kenntnisse in den Bereichen Firewall, VPN, Zertifikate, Powershell und Grundkenntnisse in Linux. Du verfügst über verhandlungssichere Deutschkenntnisse (mind. B2). Das kriegst Du von uns: einen krisensicheren Arbeitsplatz flexible Arbeitsorte: HO, remote, Office in Bad Schwalbach kostenlose Getränke + Obst attraktive BAV JobRad Ein Umfeld, in dem Du Dich wohlfühlen wirst. Zur besseren Lesbarkeit von Personenbezeichnungen & personenbezogenen Wörtern wird die männliche Form genutzt. Diese Begriffe gelten für alle Geschlechter. Show more Show less",True,entry,mixed,True,True,False,True,False,False,False,True,False,True,True,False,False,False,False,True,True,True,False,True,False,False,True,False,False,False,False,True,False
It System Administrator,Reis Robotics,"Obernburg am Main, Bavaria, Germany",https://de.linkedin.com/jobs/view/it-system-administrator-m-w-d-at-reis-robotics-4255803724?position=2&pageNum=0&refId=qZN%2BWygAx4a49CQkS%2FIBSA%3D%3D&trackingId=LYULmPUg102JJ%2FSvAADN4w%3D%3D,Systemadministrator,Germany,"Ihre Aufgabe Entgegennahme, Dokumentation und Bearbeitung von IT-Störungen und Anfragen via Telefon, E-Mail oder Ticketsystem Betreuung und Support der Endanwender bei Hard- und Softwareproblemen (Remote und vor Ort) Bereitstellung, Konfiguration und Auslieferung von IT-Hardware (PCs, Notebooks, Peripherie) Weiterleitung komplexerer Incidents an 2nd- und 3rd-Level-Support Verwaltung von IT-Assets und Softwarelizenzen Mobile Device Management (MDM) für iOS-Geräte Benutzer- und Rechteverwaltung im Active Directory (AD) Beschaffung von IT-Hardware über zentrale Einkaufsportale Dokumentation von IT-Prozessen und Systemen Unterstützung beim Monitoring der IT-Infrastruktur und der Sicherstellung von Systemverfügbarkeit Mitarbeit bei spannenden IT-Projekten (z. B. Rollouts, Systemumstellungen, Migrationen) Optional: Mitwirkung bei Themen wie IT-Security, Backup-Strategien und Datenschutz Ihr Profil Abgeschlossene Ausbildung im IT-Bereich (z. B. Fachinformatiker für Systemintegration) oder vergleichbare Qualifikation Erfahrung im IT-Support und in der Administration von Windows-Umgebungen Kenntnisse in der Arbeit mit Ticketsystemen, Active Directory, Microsoft 365 und iOS-Geräten Selbstständige, strukturierte Arbeitsweise und hohe Serviceorientierung Teamfähigkeit und Kommunikationsstärke Sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift Senden Sie Ihre Bewerbung bitte an: hr@reisrobotics.com Show more Show less",True,manager,mixed,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True,True,False
Systemadministrator,"Swell, Inc.","Bad Schwalbach, Hesse, Germany",https://de.linkedin.com/jobs/view/systemadministrator-m-w-d-at-swell-inc-4261131266?position=1&pageNum=0&refId=vGfGQAj8D2ItUr03RNS%2FRQ%3D%3D&trackingId=b7XJSxWFZWm%2F%2FDg3X6ig%2BA%3D%3D,Systemadministrator,Germany,"Als Systemadministrator (m/w/d) sorgst Du dafür, dass in unserem Team technisch alles rund läuft. Das tust Du bei uns: Du planst und überwachst unsere Client- und Serversystem-Landschaft. Dabei behältst Du stets die Netzwerke und Domänen im Blick. Du überwachst und konzipierst unsere IT-Sicherheit. Du sorgst für eine gewissenhafte Dokumentation der IT-Infrastruktur. Das ist Deine Arbeitsumgebung: Windows-Server und Win10/11 Virtualisierung wie u.a. HyperV Microsoft 365 TrueNas JIRA Das bist Du: Du bist erfahren in der professionellen Administration von IT-Systemen, gern auch als Quereinsteiger*in. Du begeisterst Dich für Client- und Serverhardware und hältst Dich stets auf dem neuesten Stand. Du hast Spaß an der Planung von technisch funktionellen Arbeitsplätzen, dabei hast Du ein gutes Gefühl für „must-have“ und „nice-to-have“. Du setzt Dich gern mit den IT-Bedürfnissen Deiner „internen Kunden“ auseinander und suchst nach der besten Lösung. Du lebst eine „Hands-on-Mentalität“. Du besitzt Kenntnisse in den Bereichen Firewall, VPN, Zertifikate, Powershell und Grundkenntnisse in Linux. Du verfügst über verhandlungssichere Deutschkenntnisse (mind. B2). Das kriegst Du von uns: einen krisensicheren Arbeitsplatz flexible Arbeitsorte: HO, remote, Office in Bad Schwalbach kostenlose Getränke + Obst attraktive BAV JobRad Ein Umfeld, in dem Du Dich wohlfühlen wirst. Zur besseren Lesbarkeit von Personenbezeichnungen & personenbezogenen Wörtern wird die männliche Form genutzt. Diese Begriffe gelten für alle Geschlechter. Show more Show less",True,entry,mixed,True,True,False,True,False,False,False,True,False,True,True,False,False,False,False,True,True,True,False,True,False,False,True,False,False,False,False,True,False
It System Administrator,Reis Robotics,"Obernburg am Main, Bavaria, Germany",https://de.linkedin.com/jobs/view/it-system-administrator-m-w-d-at-reis-robotics-4255803724?position=2&pageNum=0&refId=vGfGQAj8D2ItUr03RNS%2FRQ%3D%3D&trackingId=BYV%2BmzcMnZOqtjNXI6eS2A%3D%3D,Systemadministrator,Germany,"Ihre Aufgabe Entgegennahme, Dokumentation und Bearbeitung von IT-Störungen und Anfragen via Telefon, E-Mail oder Ticketsystem Betreuung und Support der Endanwender bei Hard- und Softwareproblemen (Remote und vor Ort) Bereitstellung, Konfiguration und Auslieferung von IT-Hardware (PCs, Notebooks, Peripherie) Weiterleitung komplexerer Incidents an 2nd- und 3rd-Level-Support Verwaltung von IT-Assets und Softwarelizenzen Mobile Device Management (MDM) für iOS-Geräte Benutzer- und Rechteverwaltung im Active Directory (AD) Beschaffung von IT-Hardware über zentrale Einkaufsportale Dokumentation von IT-Prozessen und Systemen Unterstützung beim Monitoring der IT-Infrastruktur und der Sicherstellung von Systemverfügbarkeit Mitarbeit bei spannenden IT-Projekten (z. B. Rollouts, Systemumstellungen, Migrationen) Optional: Mitwirkung bei Themen wie IT-Security, Backup-Strategien und Datenschutz Ihr Profil Abgeschlossene Ausbildung im IT-Bereich (z. B. Fachinformatiker für Systemintegration) oder vergleichbare Qualifikation Erfahrung im IT-Support und in der Administration von Windows-Umgebungen Kenntnisse in der Arbeit mit Ticketsystemen, Active Directory, Microsoft 365 und iOS-Geräten Selbstständige, strukturierte Arbeitsweise und hohe Serviceorientierung Teamfähigkeit und Kommunikationsstärke Sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift Senden Sie Ihre Bewerbung bitte an: hr@reisrobotics.com Show more Show less",True,manager,mixed,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True,True,False
Systemadministrator,"Swell, Inc.","Bad Schwalbach, Hesse, Germany",https://de.linkedin.com/jobs/view/systemadministrator-m-w-d-at-swell-inc-4261131266?position=1&pageNum=0&refId=LmGuPxJKimtIkwn1V6MA1Q%3D%3D&trackingId=4BRApq5X5VDIlnwrHNQmQQ%3D%3D,Systemadministrator,Germany,"Als Systemadministrator (m/w/d) sorgst Du dafür, dass in unserem Team technisch alles rund läuft. Das tust Du bei uns: Du planst und überwachst unsere Client- und Serversystem-Landschaft. Dabei behältst Du stets die Netzwerke und Domänen im Blick. Du überwachst und konzipierst unsere IT-Sicherheit. Du sorgst für eine gewissenhafte Dokumentation der IT-Infrastruktur. Das ist Deine Arbeitsumgebung: Windows-Server und Win10/11 Virtualisierung wie u.a. HyperV Microsoft 365 TrueNas JIRA Das bist Du: Du bist erfahren in der professionellen Administration von IT-Systemen, gern auch als Quereinsteiger*in. Du begeisterst Dich für Client- und Serverhardware und hältst Dich stets auf dem neuesten Stand. Du hast Spaß an der Planung von technisch funktionellen Arbeitsplätzen, dabei hast Du ein gutes Gefühl für „must-have“ und „nice-to-have“. Du setzt Dich gern mit den IT-Bedürfnissen Deiner „internen Kunden“ auseinander und suchst nach der besten Lösung. Du lebst eine „Hands-on-Mentalität“. Du besitzt Kenntnisse in den Bereichen Firewall, VPN, Zertifikate, Powershell und Grundkenntnisse in Linux. Du verfügst über verhandlungssichere Deutschkenntnisse (mind. B2). Das kriegst Du von uns: einen krisensicheren Arbeitsplatz flexible Arbeitsorte: HO, remote, Office in Bad Schwalbach kostenlose Getränke + Obst attraktive BAV JobRad Ein Umfeld, in dem Du Dich wohlfühlen wirst. Zur besseren Lesbarkeit von Personenbezeichnungen & personenbezogenen Wörtern wird die männliche Form genutzt. Diese Begriffe gelten für alle Geschlechter. Show more Show less",True,entry,mixed,True,True,False,True,False,False,False,True,False,True,True,False,False,False,False,True,True,True,False,True,False,False,True,False,False,False,False,True,False
It System Administrator,Reis Robotics,"Obernburg am Main, Bavaria, Germany",https://de.linkedin.com/jobs/view/it-system-administrator-m-w-d-at-reis-robotics-4255803724?position=2&pageNum=0&refId=LmGuPxJKimtIkwn1V6MA1Q%3D%3D&trackingId=yzxsVyPSsFBSDMexgp6fIg%3D%3D,Systemadministrator,Germany,"Ihre Aufgabe Entgegennahme, Dokumentation und Bearbeitung von IT-Störungen und Anfragen via Telefon, E-Mail oder Ticketsystem Betreuung und Support der Endanwender bei Hard- und Softwareproblemen (Remote und vor Ort) Bereitstellung, Konfiguration und Auslieferung von IT-Hardware (PCs, Notebooks, Peripherie) Weiterleitung komplexerer Incidents an 2nd- und 3rd-Level-Support Verwaltung von IT-Assets und Softwarelizenzen Mobile Device Management (MDM) für iOS-Geräte Benutzer- und Rechteverwaltung im Active Directory (AD) Beschaffung von IT-Hardware über zentrale Einkaufsportale Dokumentation von IT-Prozessen und Systemen Unterstützung beim Monitoring der IT-Infrastruktur und der Sicherstellung von Systemverfügbarkeit Mitarbeit bei spannenden IT-Projekten (z. B. Rollouts, Systemumstellungen, Migrationen) Optional: Mitwirkung bei Themen wie IT-Security, Backup-Strategien und Datenschutz Ihr Profil Abgeschlossene Ausbildung im IT-Bereich (z. B. Fachinformatiker für Systemintegration) oder vergleichbare Qualifikation Erfahrung im IT-Support und in der Administration von Windows-Umgebungen Kenntnisse in der Arbeit mit Ticketsystemen, Active Directory, Microsoft 365 und iOS-Geräten Selbstständige, strukturierte Arbeitsweise und hohe Serviceorientierung Teamfähigkeit und Kommunikationsstärke Sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift Senden Sie Ihre Bewerbung bitte an: hr@reisrobotics.com Show more Show less",True,manager,mixed,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True,True,False
Systemadministrator,"Swell, Inc.","Bad Schwalbach, Hesse, Germany",https://de.linkedin.com/jobs/view/systemadministrator-m-w-d-at-swell-inc-4261131266?position=1&pageNum=0&refId=cU847o27MeAtBf3voU5eIg%3D%3D&trackingId=tzmbxcL08S4ihtjwIbqXmA%3D%3D,Systemadministrator,Germany,"Als Systemadministrator (m/w/d) sorgst Du dafür, dass in unserem Team technisch alles rund läuft. Das tust Du bei uns: Du planst und überwachst unsere Client- und Serversystem-Landschaft. Dabei behältst Du stets die Netzwerke und Domänen im Blick. Du überwachst und konzipierst unsere IT-Sicherheit. Du sorgst für eine gewissenhafte Dokumentation der IT-Infrastruktur. Das ist Deine Arbeitsumgebung: Windows-Server und Win10/11 Virtualisierung wie u.a. HyperV Microsoft 365 TrueNas JIRA Das bist Du: Du bist erfahren in der professionellen Administration von IT-Systemen, gern auch als Quereinsteiger*in. Du begeisterst Dich für Client- und Serverhardware und hältst Dich stets auf dem neuesten Stand. Du hast Spaß an der Planung von technisch funktionellen Arbeitsplätzen, dabei hast Du ein gutes Gefühl für „must-have“ und „nice-to-have“. Du setzt Dich gern mit den IT-Bedürfnissen Deiner „internen Kunden“ auseinander und suchst nach der besten Lösung. Du lebst eine „Hands-on-Mentalität“. Du besitzt Kenntnisse in den Bereichen Firewall, VPN, Zertifikate, Powershell und Grundkenntnisse in Linux. Du verfügst über verhandlungssichere Deutschkenntnisse (mind. B2). Das kriegst Du von uns: einen krisensicheren Arbeitsplatz flexible Arbeitsorte: HO, remote, Office in Bad Schwalbach kostenlose Getränke + Obst attraktive BAV JobRad Ein Umfeld, in dem Du Dich wohlfühlen wirst. Zur besseren Lesbarkeit von Personenbezeichnungen & personenbezogenen Wörtern wird die männliche Form genutzt. Diese Begriffe gelten für alle Geschlechter. Show more Show less",True,entry,mixed,True,True,False,True,False,False,False,True,False,True,True,False,False,False,False,True,True,True,False,True,False,False,True,False,False,False,False,True,False
It System Administrator,Reis Robotics,"Obernburg am Main, Bavaria, Germany",https://de.linkedin.com/jobs/view/it-system-administrator-m-w-d-at-reis-robotics-4255803724?position=2&pageNum=0&refId=cU847o27MeAtBf3voU5eIg%3D%3D&trackingId=E7nfzg6nGxw%2FIUhS1R3jJQ%3D%3D,Systemadministrator,Germany,"Ihre Aufgabe Entgegennahme, Dokumentation und Bearbeitung von IT-Störungen und Anfragen via Telefon, E-Mail oder Ticketsystem Betreuung und Support der Endanwender bei Hard- und Softwareproblemen (Remote und vor Ort) Bereitstellung, Konfiguration und Auslieferung von IT-Hardware (PCs, Notebooks, Peripherie) Weiterleitung komplexerer Incidents an 2nd- und 3rd-Level-Support Verwaltung von IT-Assets und Softwarelizenzen Mobile Device Management (MDM) für iOS-Geräte Benutzer- und Rechteverwaltung im Active Directory (AD) Beschaffung von IT-Hardware über zentrale Einkaufsportale Dokumentation von IT-Prozessen und Systemen Unterstützung beim Monitoring der IT-Infrastruktur und der Sicherstellung von Systemverfügbarkeit Mitarbeit bei spannenden IT-Projekten (z. B. Rollouts, Systemumstellungen, Migrationen) Optional: Mitwirkung bei Themen wie IT-Security, Backup-Strategien und Datenschutz Ihr Profil Abgeschlossene Ausbildung im IT-Bereich (z. B. Fachinformatiker für Systemintegration) oder vergleichbare Qualifikation Erfahrung im IT-Support und in der Administration von Windows-Umgebungen Kenntnisse in der Arbeit mit Ticketsystemen, Active Directory, Microsoft 365 und iOS-Geräten Selbstständige, strukturierte Arbeitsweise und hohe Serviceorientierung Teamfähigkeit und Kommunikationsstärke Sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift Senden Sie Ihre Bewerbung bitte an: hr@reisrobotics.com Show more Show less",True,manager,mixed,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True,True,False
Systemadministrator,"Swell, Inc.","Bad Schwalbach, Hesse, Germany",https://de.linkedin.com/jobs/view/systemadministrator-m-w-d-at-swell-inc-4261131266?position=1&pageNum=0&refId=V7R9%2FB7nCLXgj6mLu6sb9A%3D%3D&trackingId=3WCft3chL24z%2BnUhQujI%2Fw%3D%3D,Systemadministrator,Germany,"Als Systemadministrator (m/w/d) sorgst Du dafür, dass in unserem Team technisch alles rund läuft. Das tust Du bei uns: Du planst und überwachst unsere Client- und Serversystem-Landschaft. Dabei behältst Du stets die Netzwerke und Domänen im Blick. Du überwachst und konzipierst unsere IT-Sicherheit. Du sorgst für eine gewissenhafte Dokumentation der IT-Infrastruktur. Das ist Deine Arbeitsumgebung: Windows-Server und Win10/11 Virtualisierung wie u.a. HyperV Microsoft 365 TrueNas JIRA Das bist Du: Du bist erfahren in der professionellen Administration von IT-Systemen, gern auch als Quereinsteiger*in. Du begeisterst Dich für Client- und Serverhardware und hältst Dich stets auf dem neuesten Stand. Du hast Spaß an der Planung von technisch funktionellen Arbeitsplätzen, dabei hast Du ein gutes Gefühl für „must-have“ und „nice-to-have“. Du setzt Dich gern mit den IT-Bedürfnissen Deiner „internen Kunden“ auseinander und suchst nach der besten Lösung. Du lebst eine „Hands-on-Mentalität“. Du besitzt Kenntnisse in den Bereichen Firewall, VPN, Zertifikate, Powershell und Grundkenntnisse in Linux. Du verfügst über verhandlungssichere Deutschkenntnisse (mind. B2). Das kriegst Du von uns: einen krisensicheren Arbeitsplatz flexible Arbeitsorte: HO, remote, Office in Bad Schwalbach kostenlose Getränke + Obst attraktive BAV JobRad Ein Umfeld, in dem Du Dich wohlfühlen wirst. Zur besseren Lesbarkeit von Personenbezeichnungen & personenbezogenen Wörtern wird die männliche Form genutzt. Diese Begriffe gelten für alle Geschlechter. Show more Show less",True,entry,mixed,True,True,False,True,False,False,False,True,False,True,True,False,False,False,False,True,True,True,False,True,False,False,True,False,False,False,False,True,False
It System Administrator,Reis Robotics,"Obernburg am Main, Bavaria, Germany",https://de.linkedin.com/jobs/view/it-system-administrator-m-w-d-at-reis-robotics-4255803724?position=2&pageNum=0&refId=V7R9%2FB7nCLXgj6mLu6sb9A%3D%3D&trackingId=OeBKy9MDZ1r0Jelc2xvAKA%3D%3D,Systemadministrator,Germany,"Ihre Aufgabe Entgegennahme, Dokumentation und Bearbeitung von IT-Störungen und Anfragen via Telefon, E-Mail oder Ticketsystem Betreuung und Support der Endanwender bei Hard- und Softwareproblemen (Remote und vor Ort) Bereitstellung, Konfiguration und Auslieferung von IT-Hardware (PCs, Notebooks, Peripherie) Weiterleitung komplexerer Incidents an 2nd- und 3rd-Level-Support Verwaltung von IT-Assets und Softwarelizenzen Mobile Device Management (MDM) für iOS-Geräte Benutzer- und Rechteverwaltung im Active Directory (AD) Beschaffung von IT-Hardware über zentrale Einkaufsportale Dokumentation von IT-Prozessen und Systemen Unterstützung beim Monitoring der IT-Infrastruktur und der Sicherstellung von Systemverfügbarkeit Mitarbeit bei spannenden IT-Projekten (z. B. Rollouts, Systemumstellungen, Migrationen) Optional: Mitwirkung bei Themen wie IT-Security, Backup-Strategien und Datenschutz Ihr Profil Abgeschlossene Ausbildung im IT-Bereich (z. B. Fachinformatiker für Systemintegration) oder vergleichbare Qualifikation Erfahrung im IT-Support und in der Administration von Windows-Umgebungen Kenntnisse in der Arbeit mit Ticketsystemen, Active Directory, Microsoft 365 und iOS-Geräten Selbstständige, strukturierte Arbeitsweise und hohe Serviceorientierung Teamfähigkeit und Kommunikationsstärke Sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift Senden Sie Ihre Bewerbung bitte an: hr@reisrobotics.com Show more Show less",True,manager,mixed,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True,True,False
